Main Image Size (Width x Height in Pixels):,2767,x,2475
Mosaic Size (Width x Height in Pixels):,6381,x,5708
Tiles with a image:,460
Tiles without a image:,0
Unique number of images used as tiles:,80
Average Tile Quality:,83.13%,Score:,3877744
Best Tile Quality:,100.00%,Score:,228659
Worst Tile Quality:,0.00%,Score:,21853823
How much can I modify every tile:,47%
Minimum distance between duplicate tiles:,1
Minimum distance between sequences:,0
Algorithm:,High Quality
Pattern:,Square
Adapt Tile/Mosaic size:,Adapt Tile
Multiple Tile Size 1/2:,0%
Multiple Tile Size 1/4:,0%
Tile Area Priority:,CENTER_WIDE
Tile Size Priority:,AUTO
Tile Split:,AUTO
MaskFile:,
Pixels x Inch PPI:500.000000

Left,Top,Width,Height,Size KPixels,Image,ImageID/Sequence,Tile Quality,Tile Priority,Score,Used Count,Tile#,Image#
0,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Forming of the NAACP in the early 20th century..jpg",0,86.67%,60%,3110936,6,1,18
278,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Elizabeth Eckford - One of the Little Rock Nine. September 6, 1957..jpg",0,84.92%,60%,3489416,6,2,3
556,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Elizabeth Eckford - One of the Little Rock Nine. September 6, 1957..jpg",0,85.11%,60%,3448550,6,3,3
834,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Elizabeth Eckford - One of the Little Rock Nine. September 6, 1957..jpg",0,85.65%,60%,3332714,6,4,3
1112,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Madam C.J. Walker - Self-made millionaire after inventing a line of African-American hair care products..jpg",0,81.92%,60%,4139545,6,5,26
1390,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting the devastation of the New Orleans Massacre of 1866..jpg",0,90.61%,60%,2259868,6,6,4
1668,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Madam C.J. Walker - Self-made millionaire after inventing a line of African-American hair care products..jpg",0,83.28%,60%,3843320,6,7,26
1946,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Memphis sanitation workers on strike in 1968..jpg",0,81.21%,60%,4291150,6,8,27
2224,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Memphis sanitation workers on strike in 1968..jpg",0,81.23%,60%,4287183,6,9,27
2502,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Memphis sanitation workers on strike in 1968..jpg",0,81.79%,60%,4167495,6,10,27
2780,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\A police dog attacks an African-American protester during an anti-segregation demonstration in Birmingham, Alabama on May 4, 1963..jpg",0,75.61%,60%,5503779,6,11,78
3058,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\A police dog attacks an African-American protester during an anti-segregation demonstration in Birmingham, Alabama on May 4, 1963..jpg",0,75.74%,60%,5475395,6,12,78
3336,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Protesters march outside of the courthouse during the trial of New York City Police Officer Thomas Shea, who shot Clifford Glover, 10, and was acquitted in New York, June 12, 1974..jpg",0,85.76%,60%,3307269,6,13,61
3614,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Madam C.J. Walker - Self-made millionaire after inventing a line of African-American hair care products..jpg",0,84.87%,60%,3501585,6,14,26
3892,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\A police dog attacks an African-American protester during an anti-segregation demonstration in Birmingham, Alabama on May 4, 1963..jpg",0,76.25%,60%,5364389,6,15,78
4170,0,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Young African American boy being chased during a race riot..jpg",0,74.11%,60%,5826598,2,16,75
4448,0,277,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Young African American boy being chased during a race riot..jpg",0,74.07%,60%,5835688,2,17,75
4725,0,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Two terrified African-American girls flee police officers during a race riot in the Bedford-Stuyvesant neighborhood of Brooklyn on July 21, 1964..jpg",0,86.76%,60%,3091412,6,18,66
5001,0,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Elizabeth Eckford - One of the Little Rock Nine. September 6, 1957..jpg",0,87.21%,60%,2995144,6,19,3
5277,0,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Memphis sanitation workers on strike in 1968..jpg",0,81.27%,60%,4278121,6,20,27
5553,0,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Madam C.J. Walker - Self-made millionaire after inventing a line of African-American hair care products..jpg",0,83.72%,60%,3749757,6,21,26
5829,0,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Image depicting the devastation of the New Orleans Massacre of 1866..jpg",0,90.81%,60%,2215827,6,22,4
6105,0,276,286,78 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Madam C.J. Walker - Self-made millionaire after inventing a line of African-American hair care products..jpg",0,82.47%,60%,4018940,6,23,26
0,286,278,286,79 ,"C:\Users\tyler\Documents\Mosaic Project\temanuel1.github.io\Mosaic Tiles\Madam C.J. Walker - Self-made millionaire after inventing a line of African-American hair care products..jpg",0,81.85%,60%,4153111,6,24,26
